Id,CreatedById,CreatedDate,FSL__Scheduling_Policy__c,FSL__Service_Goal__c,FSL__Weight__c,IsDeleted,LastModifiedById,LastModifiedDate,Name,SystemModstamp
a0o2o00000gzA1YAAU,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbjAAF,a0s2o00000hAKwBAAW,4.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00000,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1ZAAU,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbjAAF,a0s2o00000hAKwCAAW,4.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00001,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1aAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbjAAF,a0s2o00000hAKwDAAW,2.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00002,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1bAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbjAAF,a0s2o00000hAKwGAAW,1.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00003,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1cAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbhAAF,a0s2o00000hAKwBAAW,4.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00004,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1dAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbhAAF,a0s2o00000hAKwCAAW,4.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00005,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1eAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbhAAF,a0s2o00000hAKwDAAW,2.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00006,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1fAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbhAAF,a0s2o00000hAKwGAAW,1.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00007,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1gAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbiAAF,a0s2o00000hAKwBAAW,1.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00008,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1hAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbiAAF,a0s2o00000hAKwCAAW,2.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00009,2020-04-20T17:33:43.000+0000
a0o2o00000gzA1iAAE,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,a0q2o00000R6FbiAAF,a0s2o00000hAKwDAAW,7.0,False,0052o000009WY9nAAG,2020-04-20T17:33:43.000+0000,SP-00010,2020-04-20T17:33:43.000+0000
